"quando","dildo","droghe"
"12/24/25 18:12:58","false","true"
"12/20/25 19:06:09","true","true"
"12/16/25 13:50:22","false","false"
"12/16/25 09:00:16","true","true"
"12/11/25 12:31:17","false","true"
"12/10/25 22:15:41","true","true"
"12/4/25 18:14:30","true","true"
"11/30/25 21:46:05","false","true"
"11/29/25 19:48:19","true","true"
"11/29/25 17:40:08","true","true"
"11/22/25 14:35:39","false","true"
"11/22/25 05:45:31","false","true"
"11/19/25 08:16:01","true","true"
"11/12/25 10:59:55","true","true"
"11/12/25 06:58:29","false","true"
"11/8/25 05:27:05","true","true"
"11/7/25 01:14:31","false","true"
"11/5/25 02:22:43","false","true"
"11/4/25 15:39:36","false","true"
"11/4/25 14:38:15","false","true"
"11/4/25 11:30:45","true","true"
"10/31/25 22:11:35","false","true"
"10/29/25 23:03:23","false","false"
"10/26/25 22:45:49","false","true"
"10/15/25 20:57:15","false","true"
"10/15/25 12:29:58","false","true"
"10/14/25 15:31:40","false","true"
"10/14/25 08:11:11","false","true"
"10/11/25 05:25:07","true","true"
"10/8/25 06:11:35","true","true"
"10/7/25 16:58:10","true","true"
"10/4/25 22:12:07","false","true"
"10/2/25 00:34:55","true","true"
"9/28/25 00:51:52","false","true"
"9/27/25 06:31:09","false","true"
"9/27/25 03:46:44","true","true"
"9/26/25 09:00:06","false","true"
"9/26/25 04:24:16","false","true"
"9/26/25 01:43:53","true","true"
"9/21/25 22:31:32","true","true"
"9/21/25 15:21:44","true","true"
"9/21/25 07:09:12","true","true"
"9/20/25 05:55:41","true","true"
"9/16/25 03:24:23","false","true"
"9/16/25 01:19:17","true","true"
"9/13/25 06:24:31","false","true"
"9/10/25 12:06:46","false","true"
"9/7/25 05:55:07","true","true"
"9/1/25 20:36:35","false","true"
"9/1/25 17:16:56","false","true"
"9/1/25 10:41:17","true","true"
"8/26/25 14:29:30","false","true"
"8/23/25 20:38:34","false","true"
"8/23/25 13:35:31","false","true"
"8/23/25 08:12:00","true","true"
"8/19/25 00:43:19","true","true"
"8/13/25 13:45:00","true","true"
"8/10/25 18:16:54","false","true"
"8/10/25 13:10:58","true","true"
"8/7/25 19:43:15","false","true"
"8/5/25 14:19:21","false","true"
"8/5/25 08:35:15","true","true"
"8/1/25 08:43:33","false","true"
"8/1/25 00:47:56","false","true"
"7/31/25 11:04:11","true","true"
"7/27/25 22:55:42","true","true"
"7/27/25 10:52:36","true","true"
"7/20/25 15:35:36","true","true"
"7/20/25 04:58:29","true","true"
"7/13/25 22:10:02","false","true"
"7/13/25 16:59:42","true","true"
"7/7/25 03:38:25","true","true"
"6/30/25 01:50:57","false","true"
"6/29/25 02:52:26","true","true"
"6/26/25 18:05:28","true","true"
"6/26/25 06:30:39","true","true"
"6/26/25 04:54:58","true","true"
"6/20/25 04:39:20","false","true"
"6/15/25 17:14:01","true","true"
"6/12/25 13:49:55","true","true"
"6/12/25 09:12:58","true","true"
"6/9/25 04:39:20","true","true"
"6/8/25 04:56:35","true","true"
"6/3/25 09:52:46","true","true"
"6/3/25 08:48:39","true","true"
"5/30/25 00:22:44","true","true"
"5/27/25 17:49:50","true","true"
"5/27/25 12:56:48","true","true"
"5/26/25 00:31:34","false","true"
"5/25/25 22:18:49","true","true"
"5/16/25 15:38:36","false","false"
"5/7/25 23:51:25","false","true"
"5/5/25 15:13:49","false","true"
"5/5/25 11:30:25","false","true"
"5/5/25 04:33:51","false","true"
"5/5/25 02:52:54","false","true"
"5/5/25 02:02:54","false","true"
"4/27/25 22:13:00","false","true"
"4/17/25 17:16:30","true","true"
"4/17/25 09:55:58","true","true"
"4/13/25 07:24:20","false","false"
"4/6/25 17:49:48","false","true"
"4/6/25 04:40:48","false","true"
"4/5/25 20:32:08","false","true"
"3/30/25 18:14:32","false","true"
"3/29/25 09:57:33","false","true"
"3/29/25 08:38:27","false","true"
"3/27/25 19:45:37","false","true"
"3/27/25 13:43:26","false","true"
"3/26/25 10:24:15","false","false"
"3/26/25 04:53:37","false","true"
"3/23/25 13:57:00","false","true"
"3/14/25 20:17:29","false","true"
"3/13/25 05:33:00","false","false"
"3/13/25 01:34:00","false","true"
"3/13/25 00:24:00","false","true"
"3/12/25 23:27:00","false","true"
"3/12/25 23:00:15","false","true"
"3/12/25 09:59:00","false","true"
"3/11/25 19:16:00","false","true"
"3/11/25 12:35:00","false","true"
"3/11/25 09:00:00","false","false"
"3/11/25 07:19:00","false","true"
"3/10/25 19:12:03","false","true"
"3/10/25 17:31:05","false","false"
"3/9/25 10:41:12","false","false"
"3/9/25 09:21:07","false","true"
"3/8/25 20:48:00","false","true"
"3/7/25 07:30:13","false","true"
"3/7/25 01:02:46","false","true"
"3/6/25 16:45:46","false","false"
"3/6/25 14:49:18","false","true"
"3/6/25 12:53:02","false","true"
"3/5/25 13:08:34","false","true"
"3/2/25 10:14:59","false","false"
"3/1/25 20:27:22","false","false"
"2/27/25 19:38:58","false","true"
"2/27/25 17:34:15","false","true"
"2/25/25 17:20:10","false","false"
"2/25/25 13:00:21","false","false"
"2/24/25 19:17:00","false","false"
"2/24/25 16:37:00","false","false"
"2/24/25 15:26:16","false","false"
"2/23/25 20:45:06","false","false"
"2/23/25 17:30:01","false","true"
"2/22/25 20:24:05","false","true"
"2/22/25 18:54:17","false","true"
"2/22/25 17:55:28","false","true"
"2/19/25 19:26:13","false","false"
"2/18/25 04:43:48","false","false"
"2/17/25 17:22:44","false","false"
"2/17/25 13:23:43","false","false"
"2/10/25 04:21:39","true","false"
"2/5/25 19:45:14","true","false"
"2/2/25 06:29:17","true","false"
"1/30/25 20:39:25","true","false"
"1/30/25 11:02:53","true","false"
"1/27/25 21:57:18","true","false"
"1/24/25 04:22:58","true","false"
"1/20/25 06:14:55","true","false"
"1/16/25 23:53:39","true","false"
"1/14/25 08:21:43","true","false"
"1/11/25 14:40:48","true","false"
"1/6/25 19:54:00","false","false"
"1/6/25 15:30:00","false","false"
"1/6/25 11:24:47","true","false"
"1/6/25 03:46:09","true","false"
"1/3/25 19:28:13","true","false"
"12/28/24 12:51:58","true","false"
"12/23/24 17:05:00","true","false"
"12/17/24 20:34:46","true","false"
"12/11/24 12:36:07","true","false"
"11/23/24 14:29:20","true","false"
